Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX
actors,644,327,566,303,12.63,2.8096,3.90,2.5159,Noun,642,1.00,Noun,642
actory,1,1,1,1,0.02,0.3010,0.01,0.3010,Adjective,1,1.00,Adjective,1
actress,817,379,783,370,16.02,2.9128,4.52,2.5798,Noun,814,1.00,Noun,814
actresses,115,91,108,87,2.25,2.0645,1.08,1.9638,Noun,115,1.00,Noun,115
acts,636,527,614,514,12.47,2.8041,6.28,2.7226,Noun,353,0.56,Noun.Verb,353.283
actu,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
actual,884,706,859,687,17.33,2.9469,8.42,2.8494,Adjective,882,1.00,Adjective,882
actualisation,2,1,2,1,0.04,0.4771,0.01,0.3010,Noun,2,1.00,Noun,2
actualised,1,1,1,1,0.02,0.3010,0.01,0.3010,Verb,1,1.00,Verb,1
actualities,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
actuality,24,22,24,22,0.47,1.3979,0.26,1.3617,Noun,24,1.00,Noun,24
actualization,3,3,3,3,0.06,0.6021,0.04,0.6021,Noun,3,1.00,Noun,3
actualize,2,2,2,2,0.04,0.4771,0.02,0.4771,Verb,2,1.00,Verb,2
actually,16439,5486,11254,4572,322.33,4.2159,65.40,3.7393,Adverb,16406,1.00,Adverb.Noun,16406.1
actuals,2,2,2,2,0.04,0.4771,0.02,0.4771,Noun,2,1.00,Noun,2
actuarial,9,8,8,8,0.18,1.0000,0.10,0.9542,Adjective,9,1.00,Adjective,9
actuarially,1,1,1,1,0.02,0.3010,0.01,0.3010,Adverb,1,1.00,Adverb,1
actuaries,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
actuary,7,6,4,4,0.14,0.9031,0.07,0.8451,Noun,7,1.00,Noun,7
actuate,1,1,1,1,0.02,0.3010,0.01,0.3010,Verb,1,1.00,Verb,1
actuated,3,3,3,3,0.06,0.6021,0.04,0.6021,Verb,3,1.00,Verb,3
actuating,1,1,1,1,0.02,0.3010,0.01,0.3010,Adjective,1,1.00,Adjective,1
actuation,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
actuator,2,2,2,2,0.04,0.4771,0.02,0.4771,Noun,2,1.00,Noun,2
