lemma,word_infos
thoreau,thoreau;Thoreau;PROPN;unknown
pirouette,pirouette;pirouette;NOUN;unknown
neural,neural;neural;ADJ;unknown | neural;neural;ADJ;unknown | neural;neural;ADJ;unknown | neural;neural;ADJ;unknown
stimulus,stimulus;stimuli;NOUN;unknown
axon,axon;axons;NOUN;unknown | axon;axons;NOUN;unknown | axon;axons;NOUN;unknown | axon;axon;NOUN;unknown
myelin,myelin;myelin;NOUN;unknown | myelin;myelin;NOUN;unknown | myelin;myelin;NOUN;unknown
myelin,myelin;Myelin;PROPN;unknown
superhighway,superhighway;superhighway;NOUN;unknown
myelination,myelination;myelination;NOUN;unknown
allotted,allotted;allotted;ADJ;unknown
unravel,unravel;unraveling;VERB;unknown
